날짜,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
20170216,69,46,0.012,0.056,1,0.007
20170217,46,17,0.029,0.018,0.4,0.004
20170218,31,17,0.027,0.022,0.5,0.005
20170219,43,26,0.019,0.034,0.6,0.005
20170220,43,22,0.03,0.017,0.4,0.004
20170221,46,29,0.013,0.043,0.7,0.005
20170222,40,28,0.008,0.043,0.7,0.004
20170223,34,21,0.033,0.017,0.4,0.005
20170224,28,17,0.023,0.03,0.5,0.005
20170225,46,30,0.019,0.037,0.7,0.006
20170226,47,32,0.023,0.03,0.6,0.005
20170227,38,24,0.014,0.042,0.7,0.005
20170228,42,26,0.015,0.049,0.7,0.006
20170301,57,41,0.02,0.044,0.6,0.006
20170302,33,22,0.03,0.021,0.4,0.004
20170303,43,22,0.019,0.038,0.6,0.005
20170304,51,32,0.013,0.048,0.7,0.005
20170305,67,48,0.024,0.038,0.7,0.005
20170306,36,25,0.032,0.017,0.4,0.004
20170307,33,20,0.034,0.016,0.4,0.004
20170308,43,20,0.029,0.023,0.5,0.004
20170309,46,21,0.027,0.028,0.5,0.005
20170310,44,26,0.022,0.038,0.5,0.005
20170311,62,40,0.017,0.055,0.7,0.007
20170312,89,64,0.025,0.051,0.8,0.007
20170313,61,42,0.033,0.024,0.5,0.004
20170314,49,29,0.031,0.024,0.5,0.004
20170315,41,24,0.022,0.035,0.5,0.004
20170316,63,43,0.021,0.05,0.6,0.005
20170317,74,54,0.021,0.053,0.7,0.005
20170318,72,50,0.026,0.054,0.7,0.007
20170319,74,54,0.026,0.044,0.7,0.005
20170320,97,68,0.009,0.064,0.8,0.006
20170321,99,67,0.029,0.032,0.6,0.006
20170322,51,31,0.028,0.034,0.5,0.005
20170323,72,42,0.026,0.044,0.6,0.006
20170324,58,35,0.02,0.044,0.6,0.005
20170325,64,42,0.023,0.042,0.6,0.006
20170326,60,43,0.031,0.031,0.5,0.006
20170327,73,54,0.033,0.031,0.8,0.005
20170328,81,57,0.02,0.044,0.7,0.005
20170329,55,39,0.034,0.034,0.6,0.005
20170330,66,42,0.025,0.045,0.6,0.005
20170331,49,33,0.02,0.038,0.6,0.004
20170401,23,16,0.03,0.026,0.4,0.004
20170402,46,33,0.034,0.03,0.5,0.004
20170403,77,53,0.033,0.045,0.6,0.006
20170404,73,46,0.033,0.051,0.7,0.006
20170405,48,30,0.02,0.049,0.6,0.005
20170406,26,18,0.024,0.028,0.4,0.004
20170407,42,28,0.02,0.039,0.5,0.004
20170408,62,41,0.021,0.04,0.6,0.005
20170409,40,26,0.031,0.021,0.5,0.004
20170410,27,16,0.034,0.027,0.4,0.004
20170411,56,23,0.035,0.028,0.4,0.004
20170412,64,12,0.039,0.018,0.3,0.004
20170413,69,26,0.036,0.03,0.5,0.006
20170414,56,22,0.046,0.027,0.5,0.005
20170415,66,31,0.045,0.03,0.5,0.006
20170416,60,31,0.032,0.039,0.6,0.006
20170417,47,25,0.023,0.041,0.6,0.005
20170418,41,21,0.026,0.03,0.5,0.004
20170419,84,17,0.032,0.022,0.4,0.004
20170420,83,22,0.029,0.035,0.4,0.005
20170421,68,24,0.029,0.038,0.5,0.005
20170422,62,25,0.031,0.033,0.5,0.004
20170423,49,23,0.044,0.027,0.5,0.005
20170424,42,19,0.041,0.031,0.4,0.005
20170425,59,30,0.043,0.031,0.5,0.005
20170426,44,16,0.04,0.018,0.4,0.004
20170427,45,14,0.038,0.022,0.4,0.005
20170428,64,24,0.037,0.029,0.6,0.007
20170429,63,27,0.039,0.031,0.6,0.006
20170430,91,49,0.071,0.022,0.6,0.008
20170501,92,48,0.057,0.029,0.6,0.005
20170502,99,48,0.043,0.043,0.6,0.006
20170503,70,32,0.055,0.038,0.5,0.005
20170504,64,31,0.036,0.037,0.5,0.005
20170505,56,24,0.038,0.019,0.4,0.005
20170506,194,20,0.041,0.016,0.3,0.004
20170507,92,16,0.043,0.019,0.4,0.005
20170508,173,36,0.044,0.035,0.5,0.007
20170509,125,31,0.023,0.037,0.5,0.006
20170510,43,20,0.032,0.022,0.4,0.004
20170511,71,33,0.033,0.035,0.5,0.006
20170512,74,42,0.036,0.037,0.6,0.006
20170513,50,26,0.041,0.023,0.4,0.004
20170514,59,14,0.043,0.015,0.3,0.004
20170515,44,11,0.033,0.022,0.3,0.004
20170516,35,15,0.032,0.028,0.4,0.005
20170517,39,18,0.033,0.034,0.4,0.006
20170518,48,26,0.045,0.035,0.5,0.006
20170519,47,25,0.045,0.031,0.4,0.006
20170520,38,21,0.039,0.032,0.4,0.006
20170521,32,19,0.039,0.022,0.4,0.005
20170522,43,26,0.032,0.027,0.4,0.005
20170523,35,22,0.018,0.029,0.4,0.005
20170524,26,15,0.026,0.025,0.4,0.004
20170525,38,14,0.038,0.025,0.4,0.005
20170526,24,8,0.036,0.019,0.3,0.004
20170527,33,14,0.039,0.028,0.4,0.005
20170528,45,22,0.051,0.023,0.4,0.005
20170529,69,36,0.06,0.025,0.5,0.007
20170530,49,23,0.041,0.032,0.4,0.006
20170531,38,20,0.029,0.035,0.4,0.005
20170601,38,18,0.037,0.016,0.3,0.004
20170602,29,10,0.039,0.016,0.3,0.004
20170603,31,11,0.038,0.016,0.4,0.004
20170604,29,11,0.043,0.018,0.3,0.004
20170605,26,13,0.047,0.026,0.4,0.004
20170606,21,10,0.04,0.019,0.3,0.004
20170607,16,10,0.026,0.021,0.4,0.003
20170608,44,28,0.054,0.022,0.6,0.004
20170609,60,38,0.056,0.023,0.6,0.005
20170610,49,23,0.044,0.021,0.4,0.004
20170611,29,9,0.036,0.021,0.3,0.004
20170612,31,12,0.046,0.019,0.3,0.004
20170613,36,17,0.032,0.02,0.3,0.004
20170614,44,21,0.038,0.022,0.4,0.004
20170615,52,26,0.044,0.024,0.4,0.005
20170616,68,38,0.06,0.027,0.5,0.006
20170617,52,30,0.062,0.024,0.5,0.007
20170618,45,26,0.047,0.024,0.4,0.005
20170619,53,32,0.036,0.034,0.5,0.005
20170620,53,30,0.043,0.036,0.5,0.005
20170621,58,34,0.039,0.025,0.4,0.005
20170622,38,23,0.038,0.021,0.4,0.004
20170623,44,23,0.038,0.032,0.4,0.004
20170624,42,23,0.02,0.043,0.5,0.006
20170625,36,22,0.036,0.025,0.5,0.004
20170626,27,17,0.034,0.024,0.4,0.004
20170627,30,19,0.039,0.024,0.4,0.004
20170628,48,32,0.042,0.026,0.5,0.005
20170629,51,35,0.04,0.027,0.5,0.005
20170630,54,37,0.041,0.024,0.5,0.004
20170701,43,30,0.034,0.023,0.5,0.004
20170702,26,17,0.019,0.016,0.3,0.004
20170703,23,15,0.028,0.017,0.3,0.004
20170704,34,24,0.034,0.021,0.4,0.004
20170705,40,28,0.044,0.024,0.4,0.004
20170706,48,34,0.045,0.03,0.5,0.005
20170707,22,13,0.015,0.024,0.4,0.004
20170708,26,17,0.021,0.018,0.4,0.004
20170709,26,18,0.023,0.021,0.4,0.004
20170710,14,9,0.015,0.022,0.3,0.004
20170711,39,26,0.035,0.022,0.4,0.004
20170712,47,32,0.041,0.021,0.4,0.004
20170713,50,35,0.04,0.028,0.5,0.004
20170714,48,34,0.036,0.027,0.5,0.005
20170715,20,14,0.022,0.02,0.4,0.004
20170716,17,12,0.019,0.018,0.3,0.004
20170717,23,14,0.018,0.021,0.3,0.004
20170718,26,17,0.026,0.026,0.4,0.004
20170719,38,26,0.041,0.025,0.4,0.004
20170720,52,38,0.041,0.028,0.5,0.005
20170721,59,45,0.056,0.023,0.5,0.005
20170722,57,42,0.041,0.022,0.5,0.005
20170723,49,35,0.034,0.018,0.5,0.004
20170724,34,22,0.016,0.031,0.6,0.004
20170725,27,15,0.024,0.021,0.5,0.004
20170726,18,10,0.039,0.018,0.3,0.004
20170727,28,17,0.027,0.031,0.4,0.004
20170728,30,19,0.012,0.03,0.5,0.004
